author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
"Collaert, Jan$ $ $bII",,,,,,,
"de Bergamo, Petrus.",,,,,,,
"De Haen, Willem",,,,,,,
Giovanni Crisostomo Javelli,Q3767067,,,,philosopher,,male
,,,,,theologian,,
"Morelles, Cosmas",,,,,,,
Antonius a Conceptione,Q97066400,Portugal,,,theologian,,male
"Silvestri, Francesco",,,,,,,
Jacobus Boonen,Q2265364,,Old University of Leuven,,judge,Catholic Church,male
,,,,,lawyer,,
,,,,,Catholic priest,,
"de Coninck, Aegidius",,,,,,,
Franciscus Lucas Brugensis,Q86613888,,Old University of Leuven,,biblical scholar,Catholicism,male
"Lipsius, Justus",,,,,,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Valerius Andreas,Q770810,Southern Netherlands,University of Douai,,historian,,male
,,,,,legal counsel,,
,,,,,philologist,,
"d'Ognies, Claude",,,,,,,
Sebasti?o Barradas,Q7442696,,,,Catholic priest,Catholic Church,male
"Aldobrandini, Pietro",,,,,,,
"Cripius, Guillelmus",,,,,,,
"Cuyckius, Henricus",,,,,,,
"Peschius, Sebastianus",,,,,,,
"Scheprevus, Joannes",,,,,,,
Jean-Baptiste Gramaye,Q1922212,Seventeen Provinces,Old University of Leuven,,historian,Catholicism,male
,,,,,university teacher,,
,,,,,diplomat,,
,,,,,cleric,,
Diego de Covarubias y Leyva,Q1220593,Spain,University of Salamanca,,Latin Catholic priest,Catholic Church,male
,,,,,university teacher,,
,,,,,economist,,
,,,,,jurist,,
Pieter Cornelis van Brederode,Q41567100,,,,jurist,,male
Johann van Uffels,Q55133958,,University of Douai,,jurist,,male
,,,,,jurist-consultant,,
Andreas Gaill,Q110831,Germany,University of Cologne,,jurist,,male
,,,University of Bologna,,politician,,
,,,Old University of Leuven,,judge,,
Joachim Mynsinger von Frundeck,Q1690329,Germany,University of Helmstedt,,judge,,male
,,,,,university teacher,,
Arnold von Reyger,Q55133171,,,,jurist,,male
"Lipsius, Justus",,,,,,,
Ogier Ghiselin de Busbecq,Q647633,County of Flanders,University of Padua,,diplomat,,male
,,,,,writer,,
,,,,,botanist,,
Christophe Plantin,Q380360,Southern Netherlands,,,type designer,,male
,,France,,,printer,,
,,Spanish Netherlands,,,publisher,,
,,,,,bookbinder,,
,,,,,academiedrukker,,
,,,,,poet,,
"Lipsius, Justus",,,,,,,
Abraham Ortelius,Q232916,Duchy of Brabant,,,cartographer,,male
,,,,,historian,,
,,,,,engraver,,
"Cuyckius, Henricus",,,,,,,
"van Vlierden, Franciscus",,,,,,,
"Windtsenus, Fridericus",,,,,,,
Johannes Miraeus,Q1925473,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
Girolamo Piatti,Q41617503,,,,religious,,male
"Van der Heyden, J.",,,,,,,
Augustinus Hunnaeus,Q19823053,,Old University of Leuven,,theologian,,male
,,,,,university teacher,,
"Mensius, Petrus",,,,,,,
"Cripius, Guillelmus",,,,,,,
"Cuyckius, Henricus",,,,,,,
Jean-Baptiste Gramaye,Q1922212,Seventeen Provinces,Old University of Leuven,,historian,Catholicism,male
,,,,,university teacher,,
,,,,,diplomat,,
,,,,,cleric,,
Adrianus Barlandus,Q2067100,Habsburg Netherlands,Old University of Leuven,,historian,,male
,,,,,philosopher,,
,,,,,philologist,,
,,,,,university teacher,,
Johannes Baptista (I) Vrints,Q21638929,,,,printmaker,,male
,,,,,copperplate engraver,,
,,,,,publisher,,
Jer¨®nimo Nadal,Q1125690,Crown of Aragon,Complutense University,,Catholic priest,Catholic Church,male
,,,University of Paris,,,,
"Ximenez, Jacobus",,,,,,,
Remigius Driutius,Q1709056,,Old University of Leuven,,Catholic priest,Catholic Church,male
Mathias Lambrecht,Q2348716,,Old University of Leuven,,Catholic priest,Catholic Church,male
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
"Godefridi, Petrus",,,,,,,
"Vervoort, Frans",,,,,,,
"Bolswert, Bo?tius Adamz",,,,,,,
Adam Sasbout,Q55904650,,,,writer,,male
"Sasbout, Jan",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
Demetrius of Phalerum,Q313286,Classical Athens,,philosophy,politician,,male
,,,,,philosopher,,
,,,,,librarian,,
"Lipsius, Justus",,,,,,,
"Galle, Cornelius$ $ $bI",,,,,,,
Adriaen Collaert,Q2825010,Southern Netherlands,,,engraver,,male
,,,,,graphic artist,,
,,,,,copperplate engraver,,
,,,,,drawer,,
,,,,,publisher,,
"de Berghes, Guillaume",,,,,,,
"Lipsius, Justus",,,,,,,
"de Cro?, Charles",,,,,,,
"vander Baren, Jodocus",,,,,,,
"Lipsius, Justus",,,,,,,
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
"Denyautius, Jacobus",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
Janus Lernutius,Q2537143,,,,writer,,male
"Oudaert, Nicolaus",,,,,,,
Pierre Pantin,Q66619278,,,,hellenist,,male
,,,,,writer,,
,,,,,translator,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Roulliard, Se?bastien",,,,,,,
"Vrientius, Maximus Aemylianus",,,,,,,
"Flerontinus, Adrianus",,,,,,,
Dionysius Villerius,Q95292049,,,,philologist,,male
Gerard Corselius,Q56175008,,,,canon,,male
,,,,,university teacher,,
"Audejan, Hubertus",,,,,,,
Jan Andrzej Pr¨®chnicki,Q11716932,,University of Ingolstadt,,Catholic priest,Catholic Church,male
,,,University of Padua,,,,
,,,University of Bologna,,,,
"Moretus, Balthasar",,,,,,,
Filips Rubens,Q106925880,,,,,,male
Ludovic Nunez,Q2412518,,,viticulture,physician writer,,male
"Bleuwart, Joannes",,,,,,,
Joannes Bochius,Q23582659,,Old University of Leuven,,poet,,male
"Sweerts, Pierre Fran?ois",,,,,,,
"Segeth, Thomas",,,,,,,
"Lindanus, David",,,,,,,
"Bulteel, Gislain",,,,,,,
"Bircovius, Simon",,,,,,,
"Bircovius, Fabianus",,,,,,,
"Wyngaerdus, Lucas",,,,,,,
Andreas Hoius,Q107696064,,,Greek philology,poet,,male
,,,,,historian,,
,,,,,university teacher,,
,,,,,professor,,
,,,,,philologist,,
Gaugericus Rivius,Q112479664,,,,jurist,,
"Van den Wouwer, Jan",,,,,,,
"Lipsius, Justus",,,,,,,
Johannes Miraeus,Q1925473,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
Gaugericus Rivius,Q112479664,,,,jurist,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Oudaert, Nicolaus",,,,,,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Oudaert, Nicolaus",,,,,,,
"Van den Wouwer, Jan",,,,,,,
"Wargnier, Guillaume",,,,,,,
Tomasz Zamoyski,Q1288242,Grand Duchy of Lithuania,,,statesperson,,male
,,Polish¨CLithuanian Commonwealth,,,,,
"Lipsius, Justus",,,,,,,
Philips III,,,,,,,
"Lipsius, Justus",,,,,,,
"Vacquerius, Antonius",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Seneca, Lucius Annaeus",,,,,,,
"Pedro Henriquez de Acevedo, Count of Fuentes",Q645414,Spain,,,politician,,male
,,,,,military personnel,,
"Ferna?ndez de Velasco, Juan",,,,,,,
"Lipsius, Justus",,,,,,,
"Seneca, Lucius Annaeus",,,,,,,
"Pedro Henriquez de Acevedo, Count of Fuentes",Q645414,Spain,,,politician,,male
,,,,,military personnel,,
Antoine Perrenot de Granvelle,Q451178,France,University of Padua,Christian Church,art collector,Catholic Church,male
,,Spain,Old University of Leuven,politics,diplomat,,
,,,,,Catholic priest,,
,,,,,priest,,
,,,,,politician,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Sidney, Philip",,,,,,,
"a Sosa, Franciscus",,,,,,,
Paolino Berti,Q88526755,,,,prior,,male
"de Avelar, Franciscus",,,,,,,
"Matos de Noronha, Antonius",,,,,,,
"Rodr¨ªgues, Manuel",,,,,,,
"Stalpaerts, Adriaan",,,,,,,
Paolino Berti,Q88526755,,,,prior,,male
"Rodr¨ªgues, Manuel",,,,,,,
"Tates Pimentellus, Emmanuel",,,,,,,
"Hensbergh, Vincent",,,,,,,
Johannes van den Driesche,Q2243667,Dutch Republic,University of Cambridge,,theologian,Protestantism,male
